outcome,outcome_label,outcome_type,effect_label,exposure,n,effect,effect_ci_lower,effect_ci_upper,p_unadj,metric_exposed,metric_unexposed,metric_diff,metric_diff_ci_lower,metric_diff_ci_upper,adjusted_model_run,n_adjustment_covariates,adjustment_covariates,effect_adj,effect_adj_ci_lower,effect_adj_ci_upper,p_unadj_adj_model,ratio,match_type,m_tests,p_bonf
public_coverage_any,Any public/government insurance (among insured),binary,OR,stroke_exposed,1898,1.6089496632915878,1.1450345059710072,2.2608218403085063,0.0100891371788916,0.8106406279467863,0.7268296627011548,0.08381096524563147,0.02867855648959139,0.13894337400167156,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4,7,0.0706239602522412
rx_coverage,Plan covers prescriptions,binary,OR,stroke_exposed,1886,1.2975186897095703,0.7495861393326374,2.2459790300345235,0.35936232546267033,0.9405724744816905,0.9242313256974117,0.016341148784278725,-0.017757336154751974,0.050439633723309424,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4,7,1
insurance_gap_past_year,Any time without insurance in past year,binary,OR,stroke_exposed,1911,1.3398881464352552,0.6737732270285334,2.6645467242373457,0.41055079180691645,0.034856312855527836,0.02624641521602173,0.008609897639506106,-0.015698962708584743,0.032918757987596955,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4,7,1
mental_health_visit,Seen a mental health professional in the past year,binary,OR,stroke_exposed,2154,2.9828783434563593,2.051103428597377,4.3379398073287065,2.7304488547529544e-6,0.15276368715537372,0.05700208755337806,0.09576159960199566,0.050567451796355335,0.140955747407636,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4,7,1.911314198327068e-5
any_overnight_hospital,Any overnight hospital stay in the past year,binary,OR,stroke_exposed,2155,2.346000637062824,1.7231425911670344,3.194000901209033,6.505621862015641e-6,0.3244712450640936,0.16994588600554253,0.15452535905855105,0.09300816863855829,0.21604254947854382,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4,7,4.5539353034109486e-5
source_office_clinic,Usual source of care is office/clinic (vs other settings),binary,OR,stroke_exposed,2026,0.5434853336058396,0.3168470904263251,0.932236137776159,0.03424896939968741,0.9347491610329917,0.9634483260317187,-0.028699164998727045,-0.054945528829071284,-0.002452801168382805,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4,7,0.23974278579781189
overnight_hospital_stays,Number of overnight hospital stays in the past year,count,RR,stroke_exposed,2155,2.3612111902114283,1.7691551485173749,3.1514015542684417,1.972020993682719e-6,0.5822063363979023,0.24657105591040762,0.3356352804874947,0.18814630507575958,0.4831242558992298,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4,7,1.3804146955779033e-5
