exposure_type,exposure_label,outcome,outcome_label,n,or,or_ci_lower,or_ci_upper,p_unadj,p_bonf,prob_exposed,prob_unexposed,rd,rd_ci_lower,rd_ci_upper,adjusted_model_run,n_adjustment_covariates,adjustment_covariates,or_adj,or_adj_ci_lower,or_adj_ci_upper,p_unadj_adj_model,ratio,match_type
stroke,Stroke vs No Stroke,usual_place,Usual place for healthcare,2155,1.700388036967926,0.7896265042815102,3.6616292140478244,0.1847487645920383,0.3694975291840766,0.9605699008831583,0.9347553515003435,0.0258145493828148,-0.006265493993942002,0.0578945927595716,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4
stroke,Stroke vs No Stroke,any_insurance,Any health insurance coverage,2151,1.238257387414436,0.8385025337437605,1.8285947815096089,0.29091850487512955,0.5818370097502591,0.9130741854007645,0.8945474655642844,0.01852671983648002,-0.015835346027504048,0.05288878570046409,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4
tbi,TBI vs No TBI,usual_place,Usual place for healthcare,4740,0.9243082736540029,0.6569904509433484,1.300393001935598,0.6544809089206521,1,0.8963810575119805,0.9034670367917478,-0.007085979279767285,-0.038367527377148214,0.024195568817613644,FALSE,0,,NA,NA,NA,NA,4,tbi_1_4_revised
tbi,TBI vs No TBI,any_insurance,Any health insurance coverage,4738,0.9309329828347968,0.7395502985477556,1.1718421589870134,0.5466350763761778,1,0.8564008204154828,0.864979660141539,-0.00857883972605622,-0.04380166538805915,0.02664398593594671,FALSE,0,,NA,NA,NA,NA,4,tbi_1_4_revised
