dataset,n_total,n_positive_weights,min_weight,p01_weight,median_weight,p99_weight,max_weight,mean_weight,sd_weight,ess,ess_ratio
stroke_1_4,2155,2155,2263.0028495,3362.653397,10164.126962,75022.71466524,103795.173133,14987.151419806496,14086.111938261394,1144.472833975964,0.5310778811953429
tbi_1_4_revised,4740,4740,2263.0028495,3499.3452572749998,13534.4261185,85155.811255,110116.657601,22988.809816454323,21149.329769984462,2567.4477659109016,0.5416556468166459
